Name,No.,year,sex
Christine,779,1954,Female
Susan,735,1954,Female
Margaret,562,1954,Female
Judith,531,1954,Female
Jennifer,460,1954,Female
Mary,423,1954,Female
Elizabeth,419,1954,Female
Patricia,408,1954,Female
Linda,394,1954,Female
Barbara,382,1954,Female
Lynette,357,1954,Female
Robyn,340,1954,Female
Anne,329,1954,Female
Karen,328,1954,Female
Helen,325,1954,Female
Diane,290,1954,Female
Sandra,281,1954,Female
Wendy,280,1954,Female
Janet,275,1954,Female
Heather,272,1954,Female
Pamela,259,1954,Female
Carol,247,1954,Female
Janice,239,1954,Female
Julie,230,1954,Female
Suzanne,228,1954,Female
Lorraine,224,1954,Female
Dianne,218,1954,Female
Marilyn,213,1954,Female
Rosemary,207,1954,Female
Raewyn,207,1954,Female
Kathleen,200,1954,Female
Pauline,199,1954,Female
Alison,192,1954,Female
Gail,183,1954,Female
Denise,174,1954,Female
Sharon,172,1954,Female
Lesley,171,1954,Female
Yvonne,170,1954,Female
Catherine,166,1954,Female
Shirley,160,1954,Female
Beverley,154,1954,Female
Maureen,153,1954,Female
Deborah,153,1954,Female
Jillian,152,1954,Female
Ann,152,1954,Female
Annette,149,1954,Female
Colleen,147,1954,Female
Jane,145,1954,Female
Marie,144,1954,Female
Sheryl,134,1954,Female
Carolyn,129,1954,Female
Frances,123,1954,Female
Kathryn,122,1954,Female
Kay,116,1954,Female
Jacqueline,112,1954,Female
Cheryl,108,1954,Female
Ruth,105,1954,Female
Glenda,105,1954,Female
Maria,101,1954,Female
Sally,97,1954,Female
Lynda,97,1954,Female
Lynne,92,1954,Female
Marion,91,1954,Female
Gillian,91,1954,Female
Glenys,91,1954,Female
Jan,90,1954,Female
Jeanette,89,1954,Female
Elaine,89,1954,Female
Irene,88,1954,Female
Jocelyn,88,1954,Female
Donna,85,1954,Female
Brenda,84,1954,Female
Vicki,83,1954,Female
Josephine,83,1954,Female
Jill,83,1954,Female
Angela,78,1954,Female
Vivienne,77,1954,Female
Valerie,77,1954,Female
Shona,76,1954,Female
Joanne,76,1954,Female
Joy,76,1954,Female
Lois,74,1954,Female
Stephanie,72,1954,Female
Joan,71,1954,Female
Dorothy,71,1954,Female
Paula,70,1954,Female
Diana,68,1954,Female
Gloria,67,1954,Female
Adrienne,66,1954,Female
Bronwyn,62,1954,Female
Marian,60,1954,Female
Lynnette,58,1954,Female
Louise,57,1954,Female
Virginia,54,1954,Female
Penelope,54,1954,Female
Lynn,53,1954,Female
Christina,53,1954,Female
Claire,53,1954,Female
Leonie,52,1954,Female
Ngaire,51,1954,Female
Susan,743,1955,Female
Christine,689,1955,Female
Margaret,559,1955,Female
Judith,459,1955,Female
Jennifer,448,1955,Female
Karen,432,1955,Female
Patricia,421,1955,Female
Mary,398,1955,Female
Linda,386,1955,Female
Barbara,375,1955,Female
Elizabeth,363,1955,Female
Robyn,356,1955,Female
Wendy,346,1955,Female
Helen,330,1955,Female
Heather,329,1955,Female
Lynette,317,1955,Female
Anne,309,1955,Female
Sandra,299,1955,Female
Diane,289,1955,Female
Carol,258,1955,Female
Pamela,247,1955,Female
Janice,240,1955,Female
Janet,239,1955,Female
Suzanne,237,1955,Female
Raewyn,225,1955,Female
Sharon,222,1955,Female
Dianne,220,1955,Female
Julie,214,1955,Female
Rosemary,198,1955,Female
Deborah,190,1955,Female
Pauline,185,1955,Female
Alison,184,1955,Female
Kathleen,183,1955,Female
Denise,181,1955,Female
Lorraine,178,1955,Female
Catherine,178,1955,Female
Yvonne,165,1955,Female
Marie,156,1955,Female
Ann,156,1955,Female
Beverley,155,1955,Female
Lesley,154,1955,Female
Shirley,152,1955,Female
Colleen,152,1955,Female
Annette,149,1955,Female
Marilyn,144,1955,Female
Maureen,133,1955,Female
Glenda,130,1955,Female
Jane,127,1955,Female
Jillian,125,1955,Female
Sheryl,124,1955,Female
Gail,124,1955,Female
Lynda,123,1955,Female
Brenda,123,1955,Female
Jacqueline,120,1955,Female
Kay,117,1955,Female
Carolyn,117,1955,Female
Marion,116,1955,Female
Maria,111,1955,Female
Cheryl,110,1955,Female
Donna,109,1955,Female
Kathryn,108,1955,Female
Vicki,104,1955,Female
Jeanette,101,1955,Female
Jan,100,1955,Female
Gillian,99,1955,Female
Sally,96,1955,Female
Ruth,95,1955,Female
Lynne,93,1955,Female
Jocelyn,93,1955,Female
Jill,92,1955,Female
Joanne,91,1955,Female
Maree,89,1955,Female
Frances,89,1955,Female
Valerie,87,1955,Female
Elaine,83,1955,Female
Dorothy,82,1955,Female
Glenys,81,1955,Female
Shona,79,1955,Female
Adrienne,79,1955,Female
Irene,78,1955,Female
Joy,78,1955,Female
Angela,78,1955,Female
Lois,73,1955,Female
Paula,73,1955,Female
Vivienne,72,1955,Female
Bronwyn,72,1955,Female
Fiona,71,1955,Female
Louise,70,1955,Female
Stephanie,69,1955,Female
Debra,67,1955,Female
Christina,66,1955,Female
Ngaire,65,1955,Female
Jean,64,1955,Female
Diana,64,1955,Female
Claire,63,1955,Female
Lynnette,62,1955,Female
Joan,62,1955,Female
Penelope,61,1955,Female
Gloria,60,1955,Female
Katherine,59,1955,Female
Susan,851,1956,Female
Christine,754,1956,Female
Karen,615,1956,Female
Judith,478,1956,Female
Margaret,467,1956,Female
Jennifer,431,1956,Female
Elizabeth,394,1956,Female
Robyn,387,1956,Female
Patricia,380,1956,Female
Linda,369,1956,Female
Mary,359,1956,Female
Barbara,335,1956,Female
Helen,327,1956,Female
Wendy,326,1956,Female
Sharon,319,1956,Female
Anne,319,1956,Female
Heather,317,1956,Female
Sandra,312,1956,Female
Lynette,308,1956,Female
Carol,296,1956,Female
Diane,275,1956,Female
Pamela,251,1956,Female
Julie,242,1956,Female
Suzanne,235,1956,Female
Janice,231,1956,Female
Dianne,223,1956,Female
Catherine,215,1956,Female
Deborah,214,1956,Female
Raewyn,204,1956,Female
Janet,203,1956,Female
Rosemary,194,1956,Female
Alison,192,1956,Female
Pauline,188,1956,Female
Kathleen,186,1956,Female
Shirley,184,1956,Female
Lorraine,170,1956,Female
Denise,166,1956,Female
Annette,157,1956,Female
Ann,152,1956,Female
Jane,150,1956,Female
Yvonne,148,1956,Female
Lesley,142,1956,Female
Glenda,140,1956,Female
Marie,134,1956,Female
Jacqueline,134,1956,Female
Gail,133,1956,Female
Kathryn,129,1956,Female
Jillian,127,1956,Female
Colleen,127,1956,Female
Sheryl,124,1956,Female
Joanne,123,1956,Female
Beverley,123,1956,Female
Maureen,121,1956,Female
Cheryl,121,1956,Female
Lynda,116,1956,Female
Maria,115,1956,Female
Brenda,114,1956,Female
Vicki,110,1956,Female
Marilyn,110,1956,Female
Gillian,105,1956,Female
Kay,100,1956,Female
Joy,99,1956,Female
Jan,98,1956,Female
Donna,97,1956,Female
Marion,93,1956,Female
Frances,91,1956,Female
Sally,90,1956,Female
Jeanette,89,1956,Female
Angela,89,1956,Female
Debra,88,1956,Female
Maree,87,1956,Female
Carolyn,83,1956,Female
Vivienne,81,1956,Female
Lynne,81,1956,Female
Dorothy,80,1956,Female
Ruth,79,1956,Female
Louise,78,1956,Female
Valerie,75,1956,Female
Anna,74,1956,Female
Penelope,73,1956,Female
Jocelyn,73,1956,Female
Shona,71,1956,Female
Adrienne,71,1956,Female
Jill,70,1956,Female
Diana,70,1956,Female
Philippa,69,1956,Female
Victoria,68,1956,Female
Rhonda,67,1956,Female
Stephanie,67,1956,Female
Glenys,67,1956,Female
Joan,66,1956,Female
Josephine,63,1956,Female
Kerry,63,1956,Female
Katherine,62,1956,Female
Dawn,62,1956,Female
Bronwyn,62,1956,Female
Elaine,62,1956,Female
Paula,61,1956,Female
Christina,60,1956,Female
Lois,59,1956,Female
Karen,826,1957,Female
Susan,813,1957,Female
Christine,773,1957,Female
Jennifer,460,1957,Female
Margaret,437,1957,Female
Judith,427,1957,Female
Linda,413,1957,Female
Robyn,407,1957,Female
Elizabeth,371,1957,Female
Wendy,368,1957,Female
Patricia,367,1957,Female
Sandra,363,1957,Female
Mary,354,1957,Female
Helen,334,1957,Female
Deborah,329,1957,Female
Anne,310,1957,Female
Barbara,302,1957,Female
Heather,296,1957,Female
Carol,292,1957,Female
Lynette,290,1957,Female
Diane,273,1957,Female
Pamela,267,1957,Female
Sharon,263,1957,Female
Suzanne,252,1957,Female
Catherine,236,1957,Female
Julie,228,1957,Female
Raewyn,218,1957,Female
Jane,217,1957,Female
Janet,213,1957,Female
Shirley,210,1957,Female
Janice,209,1957,Female
Denise,204,1957,Female
Pauline,195,1957,Female
Dianne,190,1957,Female
Joanne,181,1957,Female
Alison,177,1957,Female
Rosemary,175,1957,Female
Lorraine,173,1957,Female
Gail,172,1957,Female
Annette,164,1957,Female
Kathleen,162,1957,Female
Vicki,161,1957,Female
Donna,155,1957,Female
Marie,153,1957,Female
Debra,149,1957,Female
Carolyn,143,1957,Female
Yvonne,142,1957,Female
Jacqueline,142,1957,Female
Lynda,138,1957,Female
Maureen,133,1957,Female
Kathryn,130,1957,Female
Sheryl,129,1957,Female
Ann,127,1957,Female
Colleen,124,1957,Female
Maria,121,1957,Female
Jillian,121,1957,Female
Brenda,121,1957,Female
Jan,119,1957,Female
Fiona,117,1957,Female
Lesley,114,1957,Female
Beverley,113,1957,Female
Angela,112,1957,Female
Cheryl,111,1957,Female
Glenda,106,1957,Female
Sally,105,1957,Female
Kerry,102,1957,Female
Gillian,102,1957,Female
Kay,99,1957,Female
Maree,92,1957,Female
Shona,91,1957,Female
Frances,91,1957,Female
Ruth,87,1957,Female
Louise,87,1957,Female
Glenys,87,1957,Female
Diana,85,1957,Female
Penelope,84,1957,Female
Michelle,83,1957,Female
Bronwyn,82,1957,Female
Valerie,80,1957,Female
Christina,80,1957,Female
Lynne,79,1957,Female
Marilyn,79,1957,Female
Josephine,79,1957,Female
Teresa,78,1957,Female
Jocelyn,77,1957,Female
Caroline,77,1957,Female
Joy,76,1957,Female
Elaine,75,1957,Female
Jeanette,73,1957,Female
Andrea,73,1957,Female
Lois,72,1957,Female
Jill,71,1957,Female
Anna,71,1957,Female
Marion,70,1957,Female
Dorothy,70,1957,Female
Vivienne,69,1957,Female
Nicola,69,1957,Female
Paula,69,1957,Female
Janette,69,1957,Female
Adrienne,69,1957,Female
Susan,915,1958,Female
Karen,808,1958,Female
Christine,609,1958,Female
Jennifer,458,1958,Female
Margaret,428,1958,Female
Deborah,415,1958,Female
Linda,409,1958,Female
Wendy,402,1958,Female
Elizabeth,399,1958,Female
Judith,370,1958,Female
Robyn,356,1958,Female
Helen,351,1958,Female
Julie,344,1958,Female
Patricia,341,1958,Female
Sandra,339,1958,Female
Mary,315,1958,Female
Barbara,306,1958,Female
Sharon,305,1958,Female
Diane,301,1958,Female
Lynette,299,1958,Female
Carol,275,1958,Female
Debra,269,1958,Female
Anne,263,1958,Female
Catherine,257,1958,Female
Suzanne,237,1958,Female
Heather,236,1958,Female
Joanne,232,1958,Female
Denise,226,1958,Female
Pamela,225,1958,Female
Janice,218,1958,Female
Raewyn,207,1958,Female
Janet,199,1958,Female
Jane,188,1958,Female
Vicki,186,1958,Female
Dianne,186,1958,Female
Shirley,180,1958,Female
Pauline,175,1958,Female
Donna,175,1958,Female
Carolyn,174,1958,Female
Rosemary,173,1958,Female
Lorraine,172,1958,Female
Alison,171,1958,Female
Kathleen,169,1958,Female
Kathryn,166,1958,Female
Yvonne,164,1958,Female
Annette,162,1958,Female
Lesley,146,1958,Female
Ann,138,1958,Female
Marie,134,1958,Female
Lynda,134,1958,Female
Jacqueline,133,1958,Female
Gail,129,1958,Female
Sally,128,1958,Female
Fiona,128,1958,Female
Jan,127,1958,Female
Sheryl,125,1958,Female
Jillian,125,1958,Female
Colleen,125,1958,Female
Kerry,120,1958,Female
Gillian,118,1958,Female
Cheryl,117,1958,Female
Kay,116,1958,Female
Brenda,115,1958,Female
Angela,115,1958,Female
Maree,114,1958,Female
Diana,113,1958,Female
Beverley,110,1958,Female
Nicola,108,1958,Female
Shona,104,1958,Female
Maria,103,1958,Female
Glenda,102,1958,Female
Ruth,100,1958,Female
Maureen,93,1958,Female
Michelle,89,1958,Female
Lynne,87,1958,Female
Jeanette,87,1958,Female
Andrea,87,1958,Female
Kim,86,1958,Female
Louise,84,1958,Female
Glenys,84,1958,Female
Caroline,83,1958,Female
Paula,82,1958,Female
Penelope,82,1958,Female
Jocelyn,82,1958,Female
Joy,81,1958,Female
Sarah,80,1958,Female
Michele,80,1958,Female
Vivienne,79,1958,Female
Josephine,79,1958,Female
Bronwyn,79,1958,Female
Adrienne,78,1958,Female
Frances,75,1958,Female
Stephanie,74,1958,Female
Elaine,72,1958,Female
Philippa,71,1958,Female
Jill,71,1958,Female
Janine,70,1958,Female
Claire,69,1958,Female
Victoria,68,1958,Female
Teresa,68,1958,Female
Susan,889,1959,Female
Karen,735,1959,Female
Christine,656,1959,Female
Deborah,515,1959,Female
Julie,475,1959,Female
Jennifer,427,1959,Female
Linda,423,1959,Female
Sandra,411,1959,Female
Robyn,382,1959,Female
Wendy,382,1959,Female
Elizabeth,382,1959,Female
Judith,377,1959,Female
Margaret,362,1959,Female
Patricia,353,1959,Female
Donna,351,1959,Female
Sharon,341,1959,Female
Debra,341,1959,Female
Mary,338,1959,Female
Helen,320,1959,Female
Joanne,309,1959,Female
Barbara,306,1959,Female
Lynette,302,1959,Female
Heather,267,1959,Female
Anne,262,1959,Female
Diane,261,1959,Female
Catherine,249,1959,Female
Carol,241,1959,Female
Denise,239,1959,Female
Suzanne,233,1959,Female
Vicki,221,1959,Female
Pamela,215,1959,Female
Janet,213,1959,Female
Carolyn,203,1959,Female
Raewyn,201,1959,Female
Jane,201,1959,Female
Shirley,181,1959,Female
Kathryn,179,1959,Female
Alison,179,1959,Female
Pauline,170,1959,Female
Janice,170,1959,Female
Dianne,170,1959,Female
Fiona,164,1959,Female
Rosemary,163,1959,Female
Annette,162,1959,Female
Michelle,159,1959,Female
Kathleen,159,1959,Female
Lesley,151,1959,Female
Lynda,146,1959,Female
Colleen,144,1959,Female
Sally,142,1959,Female
Yvonne,138,1959,Female
Ann,138,1959,Female
Jan,133,1959,Female
Marie,132,1959,Female
Jacqueline,132,1959,Female
Brenda,127,1959,Female
Maree,124,1959,Female
Jillian,124,1959,Female
Sheryl,120,1959,Female
Lorraine,120,1959,Female
Gillian,120,1959,Female
Louise,113,1959,Female
Shona,111,1959,Female
Glenda,111,1959,Female
Nicola,110,1959,Female
Kerry,108,1959,Female
Angela,108,1959,Female
Gail,107,1959,Female
Beverley,107,1959,Female
Kim,106,1959,Female
Lynne,105,1959,Female
Cheryl,105,1959,Female
Frances,102,1959,Female
Michele,100,1959,Female
Stephanie,96,1959,Female
Maria,96,1959,Female
Kay,96,1959,Female
Adrienne,95,1959,Female
Andrea,94,1959,Female
Diana,91,1959,Female
Bronwyn,85,1959,Female
Maureen,84,1959,Female
Josephine,84,1959,Female
Penelope,81,1959,Female
Jeanette,81,1959,Female
Teresa,80,1959,Female
Caroline,80,1959,Female
Vivienne,77,1959,Female
Valerie,75,1959,Female
Ruth,74,1959,Female
Sarah,73,1959,Female
Paula,73,1959,Female
Philippa,72,1959,Female
Christina,72,1959,Female
Lynley,71,1959,Female
Jocelyn,71,1959,Female
Shelley,70,1959,Female
Janine,70,1959,Female
Claire,69,1959,Female
Jill,68,1959,Female
Susan,848,1960,Female
Karen,709,1960,Female
Christine,675,1960,Female
Julie,499,1960,Female
Deborah,476,1960,Female
Sandra,460,1960,Female
Donna,408,1960,Female
Jennifer,403,1960,Female
Elizabeth,403,1960,Female
Wendy,398,1960,Female
Sharon,395,1960,Female
Joanne,389,1960,Female
Linda,373,1960,Female
Robyn,363,1960,Female
Judith,343,1960,Female
Mary,340,1960,Female
Helen,333,1960,Female
Margaret,322,1960,Female
Patricia,307,1960,Female
Debra,306,1960,Female
Carol,281,1960,Female
Barbara,269,1960,Female
Denise,268,1960,Female
Anne,264,1960,Female
Catherine,263,1960,Female
Diane,261,1960,Female
Lynette,254,1960,Female
Heather,253,1960,Female
Suzanne,236,1960,Female
Vicki,227,1960,Female
Michelle,219,1960,Female
Carolyn,216,1960,Female
Jane,202,1960,Female
Fiona,200,1960,Female
Raewyn,193,1960,Female
Kathryn,183,1960,Female
Alison,182,1960,Female
Janet,180,1960,Female
Pamela,178,1960,Female
Jacqueline,170,1960,Female
Dianne,165,1960,Female
Yvonne,162,1960,Female
Rosemary,160,1960,Female
Kathleen,160,1960,Female
Janice,156,1960,Female
Brenda,151,1960,Female
Shirley,149,1960,Female
Nicola,148,1960,Female
Pauline,144,1960,Female
Annette,144,1960,Female
Angela,143,1960,Female
Kim,140,1960,Female
Kerry,136,1960,Female
Lorraine,135,1960,Female
Marie,134,1960,Female
Jillian,134,1960,Female
Jan,133,1960,Female
Sheryl,129,1960,Female
Cheryl,127,1960,Female
Andrea,126,1960,Female
Ann,123,1960,Female
Lynda,121,1960,Female
Maree,118,1960,Female
Maria,116,1960,Female
Gillian,114,1960,Female
Kay,112,1960,Female
Lesley,109,1960,Female
Sally,108,1960,Female
Shona,101,1960,Female
Stephanie,99,1960,Female
Frances,99,1960,Female
Louise,98,1960,Female
Caroline,98,1960,Female
Vivienne,96,1960,Female
Colleen,96,1960,Female
Gail,95,1960,Female
Michele,93,1960,Female
Diana,93,1960,Female
Ruth,92,1960,Female
Bronwyn,92,1960,Female
Beverley,90,1960,Female
Debbie,89,1960,Female
Lynne,88,1960,Female
Sarah,87,1960,Female
Shelley,86,1960,Female
Glenda,85,1960,Female
Jeanette,85,1960,Female
Janine,85,1960,Female
Teresa,83,1960,Female
Anna,83,1960,Female
Maureen,80,1960,Female
Joy,77,1960,Female
Adrienne,77,1960,Female
Tracey,75,1960,Female
Jocelyn,73,1960,Female
Kaye,71,1960,Female
Penelope,70,1960,Female
Tina,69,1960,Female
Josephine,69,1960,Female
Christina,68,1960,Female
Susan,768,1961,Female
Karen,716,1961,Female
Christine,614,1961,Female
Deborah,543,1961,Female
Sandra,501,1961,Female
Joanne,494,1961,Female
Julie,480,1961,Female
Donna,440,1961,Female
Sharon,439,1961,Female
Wendy,411,1961,Female
Linda,399,1961,Female
Robyn,392,1961,Female
Helen,388,1961,Female
Jennifer,381,1961,Female
Elizabeth,362,1961,Female
Judith,322,1961,Female
Margaret,320,1961,Female
Michelle,317,1961,Female
Jacqueline,300,1961,Female
Patricia,293,1961,Female
Carol,293,1961,Female
Mary,285,1961,Female
Fiona,275,1961,Female
Catherine,275,1961,Female
Debra,270,1961,Female
Lynette,269,1961,Female
Denise,250,1961,Female
Anne,249,1961,Female
Heather,235,1961,Female
Diane,233,1961,Female
Suzanne,232,1961,Female
Barbara,225,1961,Female
Carolyn,225,1961,Female
Nicola,219,1961,Female
Raewyn,219,1961,Female
Vicki,211,1961,Female
Angela,201,1961,Female
Kathryn,193,1961,Female
Jane,186,1961,Female
Kim,180,1961,Female
Janet,176,1961,Female
Dianne,172,1961,Female
Alison,163,1961,Female
Shirley,162,1961,Female
Pamela,162,1961,Female
Annette,161,1961,Female
Jan,153,1961,Female
Brenda,152,1961,Female
Bronwyn,149,1961,Female
Michele,147,1961,Female
Jillian,147,1961,Female
Kathleen,146,1961,Female
Andrea,146,1961,Female
Tracey,141,1961,Female
Lorraine,138,1961,Female
Janice,135,1961,Female
Kerry,134,1961,Female
Rosemary,132,1961,Female
Lynda,131,1961,Female
Yvonne,127,1961,Female
Pauline,127,1961,Female
Marie,127,1961,Female
Louise,127,1961,Female
Gillian,123,1961,Female
Kay,123,1961,Female
Maree,117,1961,Female
Cheryl,117,1961,Female
Maria,116,1961,Female
Ann,114,1961,Female
Sheryl,113,1961,Female
Colleen,113,1961,Female
Shelley,112,1961,Female
Shona,112,1961,Female
Sally,111,1961,Female
Leanne,110,1961,Female
Lesley,109,1961,Female
Sarah,108,1961,Female
Ruth,98,1961,Female
Frances,96,1961,Female
Tracy,95,1961,Female
Lynne,93,1961,Female
Gail,92,1961,Female
Debbie,92,1961,Female
Anna,92,1961,Female
Janine,90,1961,Female
Adrienne,90,1961,Female
Stephanie,88,1961,Female
Caroline,88,1961,Female
Kaye,86,1961,Female
Teresa,83,1961,Female
Diana,82,1961,Female
Amanda,82,1961,Female
Vivienne,81,1961,Female
Maureen,81,1961,Female
Christina,81,1961,Female
Glenda,80,1961,Female
Katherine,79,1961,Female
Philippa,76,1961,Female
Jeanette,76,1961,Female
Beverley,76,1961,Female
Susan,729,1962,Female
Karen,655,1962,Female
Sandra,568,1962,Female
Christine,547,1962,Female
Deborah,518,1962,Female
Joanne,482,1962,Female
Julie,479,1962,Female
Sharon,421,1962,Female
Donna,411,1962,Female
Robyn,405,1962,Female
Wendy,404,1962,Female
Linda,403,1962,Female
Michelle,400,1962,Female
Elizabeth,358,1962,Female
Jennifer,337,1962,Female
Helen,334,1962,Female
Fiona,317,1962,Female
Jacqueline,309,1962,Female
Catherine,303,1962,Female
Judith,278,1962,Female
Margaret,267,1962,Female
Debra,264,1962,Female
Patricia,263,1962,Female
Kim,256,1962,Female
Mary,246,1962,Female
Carol,238,1962,Female
Lynette,235,1962,Female
Heather,232,1962,Female
Nicola,229,1962,Female
Suzanne,224,1962,Female
Anne,224,1962,Female
Vicki,221,1962,Female
Diane,220,1962,Female
Raewyn,216,1962,Female
Carolyn,214,1962,Female
Kathryn,211,1962,Female
Jane,211,1962,Female
Denise,211,1962,Female
Andrea,198,1962,Female
Angela,197,1962,Female
Barbara,181,1962,Female
Tracey,178,1962,Female
Maree,165,1962,Female
Dianne,158,1962,Female
Alison,157,1962,Female
Annette,154,1962,Female
Brenda,151,1962,Female
Leanne,148,1962,Female
Kathleen,146,1962,Female
Pamela,143,1962,Female
Louise,143,1962,Female
Tracy,140,1962,Female
Michele,138,1962,Female
Janet,138,1962,Female
Bronwyn,138,1962,Female
Jan,135,1962,Female
Kerry,132,1962,Female
Shelley,131,1962,Female
Lynda,131,1962,Female
Sally,129,1962,Female
Gillian,127,1962,Female
Marie,122,1962,Female
Pauline,122,1962,Female
Janine,122,1962,Female
Rosemary,120,1962,Female
Maria,117,1962,Female
Jillian,117,1962,Female
Debbie,115,1962,Female
Ann,113,1962,Female
Yvonne,112,1962,Female
Lorraine,112,1962,Female
Janice,112,1962,Female
Tania,110,1962,Female
Kay,110,1962,Female
Cheryl,108,1962,Female
Katherine,107,1962,Female
Sarah,106,1962,Female
Shirley,105,1962,Female
Caroline,104,1962,Female
Colleen,102,1962,Female
Sheryl,101,1962,Female
Lesley,97,1962,Female
Anna,94,1962,Female
Diana,93,1962,Female
Vivienne,92,1962,Female
Christina,90,1962,Female
Lisa,89,1962,Female
Frances,89,1962,Female
Ruth,86,1962,Female
Shona,85,1962,Female
Stephanie,84,1962,Female
Amanda,82,1962,Female
Maureen,81,1962,Female
Megan,79,1962,Female
Lynley,77,1962,Female
Gail,77,1962,Female
Lynne,75,1962,Female
Penelope,71,1962,Female
Kaye,70,1962,Female
Teresa,68,1962,Female
Susan,741,1963,Female
Karen,688,1963,Female
Sandra,573,1963,Female
Christine,497,1963,Female
Deborah,462,1963,Female
Julie,448,1963,Female
Sharon,445,1963,Female
Linda,409,1963,Female
Donna,402,1963,Female
Wendy,400,1963,Female
Joanne,396,1963,Female
Michelle,392,1963,Female
Jennifer,381,1963,Female
Helen,337,1963,Female
Robyn,333,1963,Female
Catherine,297,1963,Female
Fiona,291,1963,Female
Elizabeth,287,1963,Female
Tania,285,1963,Female
Jacqueline,277,1963,Female
Patricia,265,1963,Female
Mary,260,1963,Female
Nicola,246,1963,Female
Suzanne,245,1963,Female
Margaret,244,1963,Female
Debra,242,1963,Female
Tracey,238,1963,Female
Angela,238,1963,Female
Anne,223,1963,Female
Kim,221,1963,Female
Heather,219,1963,Female
Denise,219,1963,Female
Diane,212,1963,Female
Judith,208,1963,Female
Lynette,207,1963,Female
Vicki,206,1963,Female
Jane,206,1963,Female
Carol,205,1963,Female
Andrea,193,1963,Female
Raewyn,192,1963,Female
Kathryn,178,1963,Female
Carolyn,178,1963,Female
Tracy,176,1963,Female
Barbara,171,1963,Female
Leanne,162,1963,Female
Maria,161,1963,Female
Pauline,156,1963,Female
Maree,147,1963,Female
Alison,147,1963,Female
Brenda,147,1963,Female
Janet,145,1963,Female
Kathleen,143,1963,Female
Amanda,138,1963,Female
Janine,136,1963,Female
Dianne,135,1963,Female
Bronwyn,131,1963,Female
Sarah,130,1963,Female
Annette,129,1963,Female
Michele,128,1963,Female
Louise,127,1963,Female
Jan,125,1963,Female
Jillian,124,1963,Female
Sally,122,1963,Female
Marie,121,1963,Female
Shelley,120,1963,Female
Rosemary,119,1963,Female
Yvonne,118,1963,Female
Paula,116,1963,Female
Lynda,116,1963,Female
Ann,111,1963,Female
Pamela,110,1963,Female
Kerry,110,1963,Female
Shirley,107,1963,Female
Lisa,106,1963,Female
Lesley,104,1963,Female
Anna,103,1963,Female
Sheryl,102,1963,Female
Cheryl,101,1963,Female
Lorraine,99,1963,Female
Gillian,98,1963,Female
Christina,98,1963,Female
Caroline,96,1963,Female
Debbie,95,1963,Female
Colleen,94,1963,Female
Janice,93,1963,Female
Ruth,90,1963,Female
Teresa,86,1963,Female
Shona,83,1963,Female
Kay,83,1963,Female
Stephanie,82,1963,Female
Gaylene,82,1963,Female
Lynne,80,1963,Female
Katherine,80,1963,Female
Vivienne,78,1963,Female
Diana,78,1963,Female
Jeanette,72,1963,Female
Maureen,70,1963,Female
Gail,70,1963,Female
Megan,69,1963,Female
Beverley,68,1963,Female
Karen,640,1964,Female
Susan,596,1964,Female
Sandra,525,1964,Female
Julie,425,1964,Female
Sharon,422,1964,Female
Joanne,417,1964,Female
Deborah,398,1964,Female
Donna,396,1964,Female
Michelle,382,1964,Female
Christine,376,1964,Female
Jacqueline,364,1964,Female
Wendy,363,1964,Female
Helen,336,1964,Female
Elizabeth,332,1964,Female
Jennifer,321,1964,Female
Tania,317,1964,Female
Fiona,311,1964,Female
Linda,299,1964,Female
Robyn,292,1964,Female
Catherine,290,1964,Female
Angela,284,1964,Female
Suzanne,271,1964,Female
Kim,265,1964,Female
Tracey,257,1964,Female
Denise,251,1964,Female
Mary,250,1964,Female
Margaret,248,1964,Female
Leanne,237,1964,Female
Patricia,227,1964,Female
Nicola,221,1964,Female
Judith,213,1964,Female
Diane,205,1964,Female
Jane,203,1964,Female
Lynette,196,1964,Female
Anne,196,1964,Female
Maria,194,1964,Female
Tracy,184,1964,Female
Kathryn,183,1964,Female
Vicki,181,1964,Female
Andrea,181,1964,Female
Debra,179,1964,Female
Carol,170,1964,Female
Carolyn,169,1964,Female
Heather,168,1964,Female
Sarah,166,1964,Female
Raewyn,158,1964,Female
Barbara,153,1964,Female
Alison,150,1964,Female
Bronwyn,140,1964,Female
Marie,137,1964,Female
Louise,134,1964,Female
Lynda,133,1964,Female
Janine,133,1964,Female
Dianne,133,1964,Female
Annette,131,1964,Female
Kathleen,130,1964,Female
Brenda,127,1964,Female
Jillian,125,1964,Female
Pauline,124,1964,Female
Caroline,124,1964,Female
Paula,122,1964,Female
Amanda,121,1964,Female
Maree,120,1964,Female
Sally,118,1964,Female
Janet,113,1964,Female
Lisa,109,1964,Female
Shelley,108,1964,Female
Ann,104,1964,Female
Kerry,99,1964,Female
Katherine,98,1964,Female
Anna,98,1964,Female
Cheryl,97,1964,Female
Yvonne,96,1964,Female
Sheryl,96,1964,Female
Ruth,92,1964,Female
Rosemary,92,1964,Female
Debbie,89,1964,Female
Tanya,88,1964,Female
Pamela,88,1964,Female
Jan,86,1964,Female
Lynne,84,1964,Female
Shirley,83,1964,Female
Lorraine,82,1964,Female
Stephanie,81,1964,Female
Shona,81,1964,Female
Megan,81,1964,Female
Tina,80,1964,Female
Lynley,80,1964,Female
Michele,80,1964,Female
Lesley,79,1964,Female
